Name	Grade	Comment
BRADLEY	76	below average
LANE	60	below average
ANDREWS	91	below average
RUIZ	76	below average
HARPER	50	below average
FOX	91	below average
RILEY	93	below average
ARMSTRONG	77	below average
CARPENTER	83	below average
WEAVER	67	below average
GREENE	88	below average
LAWRENCE	97	below average
ELLIOTT	86	below average
CHAVEZ	94	below average
SIMS	82	below average
AUSTIN	66	below average
PETERS	79	below average
KELLEY	74	below average
FRANKLIN	92	below average
LAWSON	56	below average
FIELDS	51	below average
GUTIERREZ	54	below average
RYAN	96	below average
SCHMIDT	98	below average
CARR	81	below average
VASQUEZ	98	below average
CASTILLO	74	below average
WHEELER	98	below average
CHAPMAN	80	below average
OLIVER	67	below average
MONTGOMERY	62	below average
RICHARDS	51	below average
WILLIAMSON	63	below average
JOHNSTON	82	below average
BANKS	53	below average
MEYER	86	below average
BISHOP	63	below average
MCCOY	52	below average
HOWELL	90	below average
ALVAREZ	85	below average
MORRISON	71	below average
HANSEN	66	below average
FERNANDEZ	91	below average
GARZA	86	below average
HARVEY	93	below average
LITTLE	99	below average
BURTON	57	below average
STANLEY	86	below average
NGUYEN	65	below average
GEORGE	89	below average
JACOBS	76	below average
REID	90	below average
KIM	82	below average
FULLER	69	below average
LYNCH	82	below average
DEAN	72	below average
GILBERT	65	below average
GARRETT	65	below average
ROMERO	73	below average
WELCH	86	below average
LARSON	91	below average
FRAZIER	88	below average
BURKE	83	below average
HANSON	100	below average
DAY	81	below average
MENDOZA	78	below average
MORENO	92	below average
BOWMAN	89	below average
MEDINA	52	below average
FOWLER	50	below average
BREWER	100	below average
HOFFMAN	98	below average
CARLSON	84	below average
SILVA	51	below average
PEARSON	95	below average
HOLLAND	55	below average
DOUGLAS	86	below average
FLEMING	84	below average
JENSEN	57	below average
VARGAS	94	below average
BYRD	53	below average
DAVIDSON	66	below average
HOPKINS	80	below average
MAY	64	below average
TERRY	75	below average
HERRERA	63	below average
WADE	75	below average
SOTO	98	below average
WALTERS	92	below average
CURTIS	87	below average
NEAL	58	below average
CALDWELL	92	below average
LOWE	50	below average
JENNINGS	89	below average
BARNETT	68	below average
GRAVES	77	below average
JIMENEZ	58	below average
HORTON	78	below average
SHELTON	51	below average
BARRETT	68	below average
OBRIEN	53	below average
CASTRO	80	below average
SUTTON	82	below average
GREGORY	54	below average
MCKINNEY	85	below average
LUCAS	88	below average
MILES	50	below average
CRAIG	66	below average
RODRIQUEZ	50	below average
CHAMBERS	82	below average
HOLT	71	below average
LAMBERT	83	below average
FLETCHER	90	below average
WATTS	78	below average
BATES	78	below average
HALE	53	below average
RHODES	62	below average
PENA	84	below average
BECK	57	below average
NEWMAN	90	below average
